私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
彼は彼女との関係をすっぱりと断った。;かれ は かのじょ と の かんけい を すっぱり と たった。;He cut ties with her cleanly.;すっぱり	スッパリ	to cut clean	personal relations
彼は長年続けていたタバコをすっぱりやめた。;かれ は ながねん つづけて いた たばこ を すっぱり やめた。;He cleanly quit the habit of smoking that he had maintained for many years.;すっぱり	スッパリ	cutting clean	resultant state	habits
彼はたばこをすっぱりやめた。;かれ は たばこ を すっぱり やめた。;He quit smoking completely.;すっぱり	スッパリ	cut off clean	resultant state
彼女は湯船にずっぷり浸かっている 。;かのじょ は ゆぶね に ずっぷり つかっている 。;She is completely immersed in the bathtub.;ずっぷり	ズップリ	being immersed in liquid	action
雨でずっぷり濡れてしまった。;あめ で ずっぷり ぬれて しまった。;I got completely soaked in the rain.;ずっぷり	ズップリ	completely soaked	physical state	wet
彼女のハンドバッグから鍵がすっぽり出てきた。;かのじょ の はんどばっぐ から かぎ が すっぽり でてきた。;The key popped out from her handbag.;すっぽり	スッポリ	pop out	motions
その帽子が彼の頭をすっぽり覆った。;その ぼうし が かれ の あたま を すっぽり おおっ た。;The hat completely covered his head.;すっぽり	スッポリ	cover with something	motions
猫が布団にすっぽり入っている。;ねこ が ふとん に すっぽり はいって いる。;The cat is completely covered inside the futon.;すっぽり	スッポリ	completely covered	spacial orientation
彼は池にずっぽりと浸かってしまった。;かれ は いけ に ずっぽり と つかって しまった。;He was completely immersed in the pond.;ずっぽり	ズッポリ	being immersed in liquid	action
あの子は階段からすてんと落ちてしまった。;あの こ は かいだん から すてん と おちて しまった。;That child tumbled down the stairs.;すてん	ステン	tumbling a fall	performing an action
階段でつまづいてずでんと転んでしまった。;かいだん で つまづいて ずでん と ころんで しまった。;I stumbled on the stairs and fell down with a thud.;ずでん	ズデン	tumbling a fall	performing an action
彼は階段からすてんころりと落ちた。;かれ は かいだん から すてんころり と おちた。;He fell flat and rolled over down the stairs.;すてんころり	ステンコロリ	fall flat and roll over	performing an action
彼は階段からずてんどーしてしまった。;かれ は かいだん から ずてんどー して しまった 。;He took a tumble down the stairs, making a shuddering sound.;ずてんどー	ズテンドー	a tumble making a shuddering sound	performing an action
彼女は財布を台所のテーブルにストンと置いた。;かのじょ は さいふ を だいどころ の てーぶる に すとん と おいた。;She placed her purse on the kitchen table with a thud.;すとん	ストン	fall/drop suddenly	motions
彼女は驚いて荷物を地面にすとんと落とした。;かのじょ は おどろいて にもつ を じめん に すとん と おとした。;She was surprised and dropped the luggage suddenly on the ground.;すとん	ストン	suddenly	performing an action	falling
ビルが崩れ始めた時に、ズドンと大きな音が鳴りました。;びる が くずれ はじめた とき に, ずどん と おおきな おと が なりました。;When the building started to collapse, there was a loud 'kaboom' sound.;ずどん	ズドン	"""kaboom"""	onomatopoeia
大きな木が切り倒されて、地面にずどんと落ちた。;おおきな き が きりたおされて、ちめん に ずどん と おちた。;A large tree was cut down and fell to the ground with a thud.;ずどん	ズドン	a heavy object falling	performing an action
彼はナイフで野菜をスパスパ切っていた。;かれ は ないふ で やさい を すぱすぱ きって いた。;He was cleanly cutting the vegetables with a knife.;すぱすぱ	スパスパ	repetetively cut cleanly	performing an action	cutting
彼はタバコをスパスパ吸っています。;かれ は たばこ を すぱすぱ すっています。;He is puffing away at a cigarette.;すぱすぱ	スパスパ	puffing away at a smokable	performing an action
彼は会議でずばずば意見を述べた。;かれ は かいぎ で ずばずば いけん を のべた。;He got straight to the point with his opinions during the meeting.;ずばずば	ズバズバ	"getting to the point, not wasting words"	speech
彼はロープをスパッと切りました。;かれ は ろーぷ を すぱっ と きりました。;He swiftly cut the rope with a single stroke.;すぱっ	スパッ	a swift single cut	performing an action	cutting
彼は木の枝をズバッと切りました。;かれ は き の えだ を ずばっ と きりました。;He cleanly cut off the tree branch.;ずばっ	ズバッ	cut off in a clean single cut	performing an action	cutting
彼はずばっと意見を言った。;かれ は ずばっと いけん を いった。;He bluntly stated his opinion.;ずばっ	ズバッ	"blunt, unreserved"	speech
彼はロープをすぱりと切った。;かれ は ろーぷ を すぱり と きった。;He cut the rope in a clean single cut.;すぱり	スパリ	cut off in a clean single cut	performing an action	cutting
彼の意見はずばり的を射ている。;かれ の いけん は ずばり まとをいている。;His opinion hit the mark perfectly.;ずばり	ズバリ	to hit the mark	mental actions	ideas
彼はずばりと要点を話した。;かれ は ずばり と ようてん を はなした。;He boldly and concisely got to the point.;ずばり	ズバリ	with a bold cut	performing an action	cutting
彼は会議でずばりと意見を言った。;かれ は かいぎ で ずばり と いけん を いった。;He bluntly expressed his opinion in the meeting.;ずばり	ズバリ	"blunt, unreserved"	speech
彼は雨の中でずぶずぶに濡れてしまった。;かれ は あめ の なか で ずぶずぶ に ぬれて しまった。;He was sopping wet after being caught in the rain.;ずぶずぶ	ズブズブ	sopping wet	physical state	wet
彼女の肌はすべすべで触り心地が良い。;かのじょ の はだ は すべすべ で さわり ごこち が よい。;Her skin is smooth and feels nice to touch.;すべすべ	スベスベ	"smooth, slippery"	to appear to be
地震で家がスポッと動いた。;じしん で いえ が すぽっ と うごいた。;The house jolted strongly during the earthquake.;すぽっ	スポッ	jolt strongly	motions
子供が玩具のボックスからすぽりと消しゴムを取り出した。;こども が おもちゃ の ぼっくす から すぽり と けしごむ を とりだした。;The child popped out an eraser from the toy box.;すぽり	スポリ	pop out	motions
彼の手が帽子で頭をすぽりと覆った。;かれ の て が ぼうし で あたま を すぽり と おおった。;His hand covered his head completely with the hat.;すぽり	スポリ	cover with something	motions
ボールがすぽんと弾けて、向こうへ飛んで行った。;ぼーる が すぽん と はじけて、むこう へ とんで いった。;The ball popped with a bouncing force and flew to the other side.;すぽん	スポン	"popping, with a rebounding force"	motions
赤ちゃんがすやすや眠っている。;あかちゃん が すやすや ねむって いる。;The baby is sleeping calmly.;すやすや	スヤスヤ	to sleep calmly 	body function	sleep
彼女はすらーとした背が高い美しい女性です。;かのじょ は すらー と した せ が たかい うつくしい じょせい です。;She is a tall, elegantly slender, and beautiful woman.;すらー	スラー	emphatic form of すらり	the body
通りの両側に車がずらーっと並んでいる。;とおり の りょうがわ に くるま が ずらーっと ならんで いる。;Cars are lined up on both sides of the street.;ずらーっ	ズラーッ	lined up	spacial orientation
彼女は日本語の本をすらすらと読んでいました。;かのじょ は にほんご の ほん を すらすら と よんで いました。;She was smoothly reading a Japanese book.;すらすら	スラスラ	smoothly	motions
彼は日本語の本をすらすら読めるようになった。;かれ は にほんご の ほん を すらすら よめる よう に なった。;He has become able to read Japanese books fluently.;すらすら	スラスラ	fluently	performing an action	read
彼は日本語をすらすら話します。;かれ は にほんご を すらすら はなします。;He speaks Japanese smoothly.;すらすら	スラスラ	smoothly	speech
たくさんの木がずらずら並んでいる。;たくさん の き が ずらずら ならんでいる。;A lot of trees are lined up.;ずらずら	ズラズラ	lined up	spacial orientation
彼女のすらっとした体が印象的だった。;かのじょ の すらっと した からだ が いんしょうてき だった。;Her slender body was impressive.;すらっ	スラッ	emphatic form of すらり	the body
公園の桜の木がずらっと並んでいる。;こうえん の さくら の き が ずらっと ならんでいる。;The cherry blossom trees in the park are lined up beautifully.;ずらっ	ズラッ	lined up	spacial orientation
彼女はスラリとしたスタイルを持っている。;かのじょ は すらりと した スタイル を もっている。;She has a slender figure.;すらり	スラリ	slender	form
彼女はすらりと試験を通過した。;かのじょ は すらり と しけん を つうか した。;She passed the exam easily.;すらり	スラリ	"easily, without trouble"	motions
彼はすらりと壁をかわした。;かれ は すらり と かべ を かわした。;He smoothly dodged around the wall.;すらり	スラリ	smoothly	performing an action	dodging
彼女はすらりとした体つきで、どんな服でも似合います。;かのじょ は すらり と した からだつき で、どんな ふく でも にあいます。;She has a long and slender figure, and any clothing looks good on her.;すらり	スラリ	"long, slender, well-proportioned"	the body
彼の本棚には小説がずらりと並んでいる。;かれ の ほん だな に は しょうせつ が ずらり と ならんでいる。;His bookshelf is lined up with novels.;ずらり	ズラリ	lining up	action
店の前には、おいしそうなケーキがずらりと並んでいました。;みせ の まえ に は 、 おいしそう な けーき が ずらり と ならんで いました 。;In front of the store, there was a delicious-looking lineup of cakes.;ずらり	ズラリ	lined up	spacial orientation
子供たちは滑り台でスルスルと滑り降りた。;こどもたちは すべりだいで するする と すべりおりた。;The children slid down the slide smoothly.;するする	スルスル	"glide, slide"	motions
彼は窓からするするとロープを降りた。;かれ は まど から するする と ろーぷ を おりた。;He smoothly and swiftly descended down the rope from the window.;するする	スルスル	smooth and straight	motions
彼はするすると問題を解決しました。;かれ は するする と もんだい を かいけつ しました。;He solved the problem smoothly and easily.;するする	スルスル	"smoothly, easily"	motions
彼はするすると木に登った。;かれ は するする と き に のぼった。;He climbed the tree smoothly.;するする	スルスル	"smoothly, nimble"	performing an action	climbing
彼は重いスーツケースをずるずる引きずっていました。;かれ は おもい すーつけーす を ずるずる ひきずっていました。;He was dragging the heavy suitcase along the ground.;ずるずる	ズルズル	"trailing, dragging"	action
彼はずるずると試験に落ち続けている。;かれ は ずるずる と しけん に おち つづけている。;He is constantly failing exams in a sliding motion.;ずるずる	ズルズル	slide	motions
会議がずるずると続いた。;かいぎ が ずるずる と つづいた。;The meeting dragged on and on.;ずるずる	ズルズル	dragging on	resultant state
彼は階段からするっと落ちた。;かれ は かいだん から するっと おちた。;He slipped abruptly from the stairs.;するっ	スルッ	slip (abruptly)	motions
彼は石につまずいて、するっと滑った。;かれ は いし に つまずいて、するっと すべった。;He stumbled on a rock and slipped.;するっ	スルッ	"slip, slide"	performing an action
彼はするりと部屋を抜け出した。;かれ は するり と へや を ぬけだした。;He slipped out of the room quietly.;するり	スルリ	slip	motions
猫は犬をするりと避けて走り去った。;ねこ は いぬ を するり と よけて はしりさった。;The cat swiftly dodged the dog and ran away.;するり	スルリ	swiftly	performing an action	dodging
彼はロープをするりと握り直した。;かれ は ろーぷ を するり と にぎりなおした。;He slowly adjusted his grip on the rope.;するり	スルリ	"slowly slipping, sliding"	performing an action
彼は忍者のようにするりと敵の攻撃をかわした。;かれ は にんじゃ の よう に するり と てき の こうげき を かわした。;He skillfully dodged the enemy's attack like a ninja.;するり	スルリ	dodging skillfully	performing an action
そのトラックは塀にスレスレです。;その とらっく は へい に すれすれ です。;The truck is very close to the wall.;すれすれ	スレスレ	very close	available space
彼は電車にスレスレで間に合った。;かれ は でんしゃ に すれすれ で まにあった。;He barely made it to the train on time.;すれすれ	スレスレ	"barely, just in time"	temporal aspect
トトロはずんぐりした体型です。;と と ろ は ず ん ぐ り し た た い けい で す。;Totoro has a short, fat body.;ずんぐり	ズングリ	"short, fat"	form
彼の犬はずんぐりした体をしている。;かれ の いぬ は ずんぐり した からだ を している。;His dog has a short and pudgy body.;ずんぐり	ズングリ	"short and fat, short and pudgy"	the body
ずんぐりむっくりのくまが蜂蜜を食べています。;ずんぐり むっくり の くま が はちみつ を たべて います。;The short and pudgy bear is eating honey.;ずんぐりむっくり	ズングリムックリ	"short and fat, short and pudgy"	the body
天気がずんずん暑くなってきました。;てんき が ずんずん あつ く なって きました。;The weather is getting rapidly hotter.;ずんずん	ズンズン	"rapidly, noticably, markedly"	resultant state
彼女はスンナリした体型をしています。;かのじょ は すんなり した たいけい を しています。;She has a slender figure.;すんなり	スンナリ	slender	form
彼は試験にすんなり合格した。;かれ は しけん に すんなり ごうかく した。;He passed the exam smoothly.;すんなり	スンナリ	"smoothly, without resistance"	motions
彼女はすんなりした体をしている。;かのじょ は すんなり した からだ を して いる。;She has a slender body.;すんなり	スンナリ	slender	the body
テストが終わって、やっとせいせいした。;てすと が おわって、 やっと せいせい した。;I felt relieved after the test was over.;せいせい	ゼイゼイ	relieved	mood	relieved
彼は走った後、ぜーぜーと息をしていた。;かれ は はしった あと、 ぜーぜー と いき を して いた。;After running, he was wheezing.;ぜーぜー	ゼーゼー	wheezing	onomatopoeia	human noises
彼はいつもせかせかと動き回っています。;かれ は いつも せかせか と うごきまわって います。;He is always buzzing around restlessly.;せかせか	セカセカ	buzzing around	action
彼は朝から晩までせかせかと働いています。;かれ は あさ から ばん まで せかせか と はたらいて います。;He works restlessly from morning till night.;せかせか	セカセカ	"restlessly, doing something hurried"	action
彼はいつもせかせかしている。;かれ は いつも せかせか している。;He is always busy and unsettled.;せかせか	セカセカ	"busy and unsettled, restless"	mood	nervous
彼はセカセカと歩いている。;かれ は せかせか と あるいている。;He is walking hurriedly.;せかせか	セカセカ	"hurried, restlessly"	performing an action	walking
彼はいつもせかせかしていて、じっとしているのは苦手だ。;かれ は いつも せかせか していて、じっと している の は にがて だ。;He is always restless and cannot stand still.;せかせか	セカセカ	"restless, impetuously, hastily"	personal traits
田中さんは毎日せっせと仕事をしています。;たなかさんは まいにち せっせと しごとを しています。;Mr. Tanaka works diligently every day.;せっせ	セッセ	to work like a bee	work attitude
寒さで背中がぞくぞくしました。;さむさ で せなか が ぞくぞく しました。;I shivered from the cold.;ぞくぞく	ゾクゾク	to shiver from the cold	feelings	temperature
彼は恐怖映画を見て、ぞくぞくしていた。;かれ は きょうふ えいが を みて、 ぞくぞく して いた。;He was shivering with excitement while watching the horror movie.;ぞくぞく	ゾクゾク	excitement caused by fear or joy	mental state	scared
彼女はライブのチケットを手にして、ぞくぞくと嬉しさがこみ上げてきた。;かのじょ は らいぶ の ちけっと を て に して、ぞくぞく と うれしさ が こみあげてきた。;She held the concert ticket in her hand, and excitement and joy welled up inside her.;ぞくぞく	ゾクゾク	"joyful, excited with expectation"	mood	happy
冷たい風が吹くたびに、背筋がぞくっとした。;つめたい かぜ が ふく たびに、せすじ が ぞくっと した。;Each time the cold wind blew, I felt a shiver down my spine.;ぞくっ	ゾクッ	a momentary shiver of real cold (stronger than ぞくぞく)	feelings	temperature
心から願っていたのに、彼はソゴスゴと去っていった。;こころ から ねがって いた のに、 かれ は そごすご と さって いった。;Even though he wished from the bottom of his heart, he left with a heavy heart.;そごすご	ソゴスゴ	leaving with a heavy heart	mood	down
そこそこお金を持っている人は贅沢をすることができます。;そこそこ おかね を もっている ひと は ぜいたく を する こと が できます。;People who have around enough money can afford to indulge in luxury.;そこそこ	ソコソコ	"around, just about"	quantity
彼は授業の後、そそくさと教室を出ました。;かれ は じゅぎょう の あと、そそくさ と きょうしつ を で ました。;He hastily left the classroom after the lesson.;そそくさ	ソソクサ	"hastily, doing something only in part due to haste"	performing an action
彼女はそっとドアを閉めた。;かのじょ は そっと どあ を しめた。;She quietly closed the door.;そっ	ソッ	"softly, gently, quietly"	action
彼はそっと部屋を出た。;かれ は そっと へや を でた。;He quietly left the room.;そっ	ソッ	"quietly, avoiding sound, avoiding attracting attention"	action
彼女はそっとうさぎのように歩いた。;かのじょ は そっと うさぎ の よう に あるいた。;She walked softly like a rabbit.;そっ	ソッ	"soft, tenderly"	performing an action	walking
寒い冬の朝に、コートを忘れて外に出たとき、ぞっとした。;さむい ふゆの あさに、コートを わすれて そとに でた とき、ぞっと した。;On a cold winter morning, I shuddered as I stepped outside having forgotten my coat.;ぞっ	ゾッ	"shudder, to feel a chill come over oneself"	feelings	temperature
その話を聞いたとき、ぞっとした。;その はなし を きいた とき 、 ぞっと した 。;When I heard that story, I felt a chill.;ぞっ	ゾッ	feeling a chill shooting up the spine	feelings
私は恐ろしい話を聞いてゾッとしました。;わたし は おそろしい はなし を きいて ぞっ と しました。;I shuddered from fear after hearing the terrifying story.;ぞっ	ゾッ	"shuddering from fear, have ones hairs stand on end"	mental state	scared
彼は双子の兄とそっくりです。;かれ は ふたご の あに と そっくり です 。;He looks identical to his twin brother.;そっくり	ソックリ	identical	form
その双子はそっくりで、見分けがつきません。;その ふたご は そっくり で、みわけ が つきません。;Those twins look entirely alike and are indistinguishable.;そっくり	ソックリ	"entirely, wholly"	quantity
この兄弟は顔がそっくりです。;この きょうだい は かお が そっくり です。;These brothers look very similar.;そっくり	ソックリ	looking similar [to someone]	the face
彼女にぞっこんなんだ。;かのじょ に ぞっこん なん だ。;I am madly in love with her.;ぞっこん	ゾッコン	"madly in love, head over heels"	emotions	affection
風がそよそよと吹いている。;かぜ が そよそよ と ふいて いる。;The wind is gently blowing.;そよそよ	ソヨソヨ	"gently, softly"	weather	wind
彼は髭を剃るときに、いつもぞりぞりと音がする。;かれ は ひげ を そる とき に、 いつも ぞりぞり と おと が する。;When he shaves his beard, it always makes a zorizori sound.;ぞりぞり	ゾリゾリ	sound of hair being shaven	action
彼は砂利道をゾリゾリと歩いた。;かれ は じゃりみち を ぞりぞり と あるいた。;He walked along the gravel road, making a scraping sound.;ぞりぞり	ゾリゾリ	scraping	onomatopoeia
彼の服装はいつもぞろいで、職場に行くにはふさわしくありません。;かれ の ふくそう は いつも ぞろい で 、 しょくば に いく に は ふさわしく ありません 。;His attire is always sloppy and not suitable for going to the workplace.;ぞろい	ゾロイ	"sloppy, untidy (loose)"	personal attire
そろそろと歩く。;そろそろ と あるく。;Walk slowly.;そろそろ	ソロソロ	"slowly, leisurely"	action
そろそろ歩きます。;そろそろ あるきます。;I will walk slowly and leisurely.;そろそろ	ソロソロ	"slowly, leisurely"	performing an action	walking
そろそろ寝る時間です。;そろそろ ねる じかん です。;It's nearly time to go to bed.;そろそろ	ソロソロ	"soon, nearly"	temporal aspect
子どもたちがぞろぞろ列を作って歩いています。;こどもたち が ぞろぞろ れつ を つくって あるいて います。;The children are walking in a long line, dragging along.;ぞろぞろ	ゾロゾロ	drag along	action
人々がコンサート会場からぞろぞろと出てきた。;ひとびと が こんさーと かいじょう から ぞろぞろ と でて きた。;People streamed out from the concert hall.;ぞろぞろ	ゾロゾロ	stream out in numbers	action
彼のズボンが地面をぞろりと引きずっていた。;かれ の ずぼん が じめん を ぞろり と ひきずって いた。;His pants were hanging loose and dragging on the ground.;ぞろり	ゾロリ	hang loose and drag	action
人々が駅のホームにぞろりと並んでいた。;ひとびと が えき の ほーむ に ぞろり と ならんでいた。;People were lined up in a row on the train station platform.;ぞろり	ゾロリ	being lined up	action
彼女はそろりそろりと庭を歩き始めた。;かのじょ は そろり そろり と にわ を あるき はじめた。;She started walking slowly and leisurely through the garden.;そろりそろり	ソロリソロリ	"slowly, leisurely"	performing an action	walking
彼女は試験の前にそわそわしていた。;かのじょ は しけん の まえ に そわそわ して いた。;She was restless before the exam.;そわそわ	ソワソワ	"restless, nervously waiting for an event to occur"	mood	nervous
彼女の突然の発言に、私はただ「だーっ」となってしまった。;かのじょ の とつぜん の はつげん に、わたし は ただ「だーっ」と なってしまった。;Her sudden statement left me just in a state of 'Daa!'.;だーっ	ダーッ	at a total loss for words	mental state
ライオンが獲物を見つけた瞬間、だーっと走り出した。;らいおん が えもの を みつけた しゅんかん、 だーっと はしりだした。;The moment the lion spotted its prey, it charged forward.;だーっ	ダーッ	"to charge, run at"	performing an action
だーんと大きな音が響いた。;だーん と おおきな おと が ひびいた。;Kapow! A loud sound echoed.;だーん	ダーン	"""kapow!"""	onomatopoeia
彼は暑さのせいで汗をだくだくとかいていた。;かれ は あつさ の せい で あせ を だくだく と かいて いた。;He was sweating profusely because of the heat.;だくだく	ダクダク	sweating profusely	body function
汗がだくだくと流れている。;あせ が だく だく と ながれている。;Sweat is gushing down.;だくだく	ダクダク	"gushing, running off"	state	liquids
彼はたけぱきと仕事を終えました。;かれ は たけぱき と しごと を おえました。;He finished the work promptly and speedily.;たけぱき	タケパキ	"prompty, speedily"	action
彼の速い言葉にたじたじになった。;かれ の はやい ことば に たじたじ に なった。;I was left staggering by his fast words.;たじたじ	タジタジ	staggering	performing an action
雨の音が窓辺でたったっと聞こえた。;あめ の おと が まどべ で たったっ と きこえた。;I heard the sound of rain pit-a-patting at the window.;たったっ	タッタッ	pit-a-patting	onomatopoeia
彼はたったっ歩いて行った。;かれ は たったっ あるいて いった。;He walked quickly away.;たったっ	タッタッ	"quickly, vigorously"	performing an action	walking
彼女はたったっと階段を上がった。;かのじょ は たったっと かいだん を あがった。;She energetically walked up the stairs.;たったっ	タッタッ	walk forward with vigor	performing an action
彼はドアをだっだっと押した。;かれ は ドア を だっだっと おした。;He pushed the door forward with force.;だっだっ	ダッダッ	push forward with force	performing an action
彼女は時間をたっぷり持っています。;かのじょ は じかん を たっぷり もちています。;She has plenty of time.;たっぷり	タップリ	plenty	quantity
彼の服はだぶだぶで、彼に合っていなかった。;かれ の ふく は だぶだぶ で、かれ に あって いなかった。;His clothes were hanging loose and didn't fit him.;だぶだぶ	ダブダブ	hanging loose	form
彼のズボンは彼にとって大きすぎて、だぶだぶだ。;かれ の ずぼん は かれ に とって おおきすぎて、だぶだぶ だ。;His trousers are too big for him and are baggy.;だぶだぶ	ダブダブ	in excess	quantity
彼の服がだぶだぶすぎて、すぐに脱げてしまいそうだ。;かれ の ふく が だぶだぶ すぎて、すぐ に ぬげて しまいそう だ。;His clothes are so baggy that they look like they might fall off at any moment.;だぶだぶ	ダブダブ	hanging loose	size
彼のシャツはだぶだぶなので、服を買い替えないといけません。;かれ の しゃつ は だぶだぶ なので、ふく を かいかえない と いけません。;His shirt is too loose, so he needs to buy new clothes.;だぶだぶ	ダブダブ	overweight and flabby	the body
汗がたらたらと流れました。;あせ が たらたら と ながれ ました。;Sweat dripped continuously.;たらたら	タラタラ	to continuously drip (sweat)	body function
彼はいつもタラタラと文句を言っている。;かれ は いつも たらたら と もんく を いっている。;He is always complaining endlessly.;たらたら	タラタラ	full of complaint	speech
彼はいつも会議でタラタラとした話を続ける。;かれ は いつも かいぎ で たらたら と した はなし を つづける。;He always goes on and on with his incessant talk at meetings.;たらたら	タラタラ	"to be full of it, to incessently be [boastful, flattering, evasive, etc.]"	speech
水が蛇口からたらたら流れています。;みず が じゃぐち から たらたら ながれています。;Water is dripping from the tap.;たらたら	タラタラ	dripping	state	liquids
彼はだらだらして仕事を終わらせません。;かれ は だらだら して しごと を おわらせません。;He is dragging on without end and doesn’t finish his work.;だらだら	ダラダラ	dragging on without end	resultant state
だらだらした坂をのぼりました。;だらだら した さか を のぼりました。;I climbed the gently sloping hill.;だらだら	ダラダラ	gently sloping	shape
彼のスピーチはだらだら続いた。;かれ の すぴーち は だらだら つづいた。;His speech droned on and on.;だらだら	ダラダラ	droning on	speech
水が蛇口からだらだら垂れていた。;みず が じゃぐち から だらだら たれて いた。;The water was dripping continuously from the faucet.;だらだら	ダラダラ	dripping	state	liquids
彼の仕事のやり方はいつもだらだらしている。;かれ の しごと の やりかた は いつも だらだら している。;His work attitude is always sluggish.;だらだら	ダラダラ	"sluggish, listless"	work attitude
汗がたらっと流れた。;あせ が たらっと ながれた。;A drop of sweat dripped down.;たらっ	タラッ	a single drop dripping	state	liquids
犬が暑さでだらっと' ダラッ'と舌を出している。;いぬ が あつさ で だらっと' ダラッ'と した を だしている。;The dog is lolling its tongue out 'dara' from the heat.;だらっ	ダラッ	lolling out the tongue	performing an action
彼はだらっとした服を着ていた。;かれ は だらっと した ふく を きて いた。;He was wearing sloppy clothes.;だらっ	ダラッ	"sloppily, loosely"	personal attire
洗濯物がベランダでだらっと垂れている。;せんたくもの が べらんだ で だらっと たれて いる。;The laundry is hanging down untidily on the balcony.;だらっ	ダラッ	hanging down (untidily)	spacial orientation
雨が葉っぱからダラッと落ちた。;あめ が はっぱ から だらっ と おちた。;A thick drop of rain dripped from the leaf.;だらっ	ダラッ	a thick drop dripping	state	liquids
彼は仕事中にダラッと座っていて、やる気が全く感じられません。;かれ は しごとちゅう に だらっ と すわっていて 、 やるき が まったく かんじられません 。;He sits lazily during work, showing absolutely no motivation.;だらっ	ダラッ	"lazily, slacking"	work attitude
屋根 から 雨水 が たらりと 垂れ落ちた。;やね から あまみず が たらり と たれおちた。;A single drop of rainwater dripped down from the roof.;たらり	タラリ	a single drop dripping	state	liquids
彼は椅子にもたれて、だらりと座っていた。;かれ は いす に もたれて、だらり と すわって いた。;He was leaning back in his chair, lolling around.;だらり	ダラリ	lolling	performing an action
スカーフがだらりと下がっている。;すかーふ が だらり と さがっている。;The scarf is hanging down loosely.;だらり	ダラリ	hanging down loosely	spacial orientation
アイスクリームが、溶けてダラリと垂れてきた。;アイスクリームが、とけて だらり と たれてきた。;The ice cream melted and started to drop thickly.;だらり	ダラリ	drops of thick/sticky liquid dropping	state	liquids
雨が屋根からたらりたらりと落ちています。;あめ が やね から たらりたらり と おちて います。;The rain is dripping intermittently from the roof.;たらりたらり	タラリタラリ	drip intermittently	state	liquids
雫がガレージの天井からだらんだらんと滴っている。;しずく が がれーじ の てんじょう から だらん だらん と したたって いる。;Drops are slowly dripping from the garage ceiling.;だらん	ダラン	drops of thick/sticky liquid dropping	state	liquids
今日はたんまり買い物したんだ。;きょう は たんまり かいもの した ん だ。;I did quite a lot of shopping today.;たんまり	タンマリ	quite a lot	quantity
鳥が庭でちーちーと鳴いています。;とり が にわ で ちーちー と ないて います。;The birds are chirping in the garden.;ちーちー	チーチー	chirp	onomatopoeia	bird
風邪をひいて鼻をかむとき、ちーんという音がする。;かぜひいて はなを かむとき、ちーん という おとが する。;When I blow my nose because of a cold, it makes a 'cheen' sound.;ちーん	チーン	blowing of a nose	onomatopoeia	human noises
コンタクトをつけすぎて、目がちかちかしている。;こんたくと を つけ すぎて、め が ちかちか して いる。;I've worn my contacts for too long, and my eyes are irritated.;ちかちか	チカチカ	irritated eyes	feelings	pain
暗い部屋の中で、電球がちかちか光っていた。;くらい へや の なか で、でんきゅう が ちかちか ひかって いた。;In the dark room, the light bulb was flickering hinderingly.;ちかちか	チカチカ	hinderingly sparkling	state	light
カメラのフラッシュがちかっと光った。;カメラ の ふらっしゅ が ちかっ と ひかった。;The camera flash dazzled momentarily.;ちかっ	チカッ	momentarily dazzling	state	light
時計はちくたくと音を立てている。;とけい は ちくたく と おと を たてている。;The clock is making a tick tock sound.;ちくたく	チクタク	"""tick tock"""	onomatopoeia
彼の言葉はいつも心にちくちく刺さった。;かれ の ことば は いつも こころ に ちくちく ささった。;His words always pricked my heart like a needle.;ちくちく	チクチク	"powerful emototion, like being stabbed with a needle"	emotions
セーターのタグが肌にちくちくして痛いです。;せーたー の たぐ が はだ に ちくちく して いたい です。;The tag on the sweater is itchy and painfully pricking my skin.;ちくちく	チクチク	"itchy, needlelike intermittent pain"	feelings	pain
セーターを着ると、肌がちくちくする。;セーター を きる と 、 はだ が ちくちく する 。;When I put on the sweater, it pricks my skin.;ちくちく	チクチク	"pricking, tingling sensation"	feelings
彼の言葉にちくちく刺される感じがした。;かれ の ことば に ちくちく さされる かんじ が した。;His words felt like they were pricking me repeatedly.;ちくちく	チクチク	"prick, quick and repeatedly with something needlelike"	performing an action	stabbing
このタキシードを着ると、僕はちぐちぐしている気がする。;この たきしーど を きる と、ぼくは ちぐちぐ している きが する。;When I wear this tuxedo, I feel like I look odd and out of place.;ちぐちぐ	チグチグ	"look odd, out of place"	to appear to be
針で指を刺された時、チクッとした痛みがあった。;はり で ゆび を さされた とき、ちくっと した いたみ が あった。;When my finger was pricked by a needle, there was a momentary jabbing pain.;ちくっ	チクッ	momentary jabbing feeling	feelings
注射の針がちくっと腕を突き刺した。;ちゅうしゃ の はり が ちくっ と うで を つきさした。;The injection needle stabbed sharply into the arm.;ちくっ	チクッ	"sharp, single sting"	performing an action	stabbing
蜂が腕をチクッと刺した。;はち が うで を ちくっ と さした 。;A bee stung my arm.;ちくっ	チクッ	sting	performing an action	stabbing
彼らの友情はちぐはぐなものだった。;かれら の ゆうじょう は ちぐはぐ な もの だった。;Their friendship was an odd, mismatched one.;ちぐはぐ	チグハグ	"odd, unmatched"	personal relations
彼らの意見はちぐはぐになった。;かれら の いけん は ちぐはぐ に なった。;Their opinions ended up being mismatched.;ちぐはぐ	チグハグ	"confused, unmatched"	resultant state
