私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
雨がぺたんぺたんとベランダに落ちる音が聞こえてきた。;あめ が ぺたんぺたん と べらんだ に おちる おと が きこえてきた。;I could hear the pattering of rain as it fell on the veranda.;ぺたんぺたん	ペタンペタン	pattering	onomatopoeia
彼らはずっとべちゃくちゃ話している。;かれら は ずっと べちゃくちゃ はなしている。;They keep on chattering endlessly.;べちゃくちゃ	ベチャクチャ	"chatter, babble"	speech
彼女たちは昼休みにカフェでぺちゃくちゃ話していた。;かのじょ たち は ひるやすみ に カフェ で ぺちゃくちゃ はなしていた。;They were chattering away at the café during their lunch break.;ぺちゃくちゃ	ペチャクチャ	"chatter, babble (in voices less dull than べちゃくちゃ)"	speech
庭は雨上がりでべちゃべちゃだ。;にわ は あめ あがり で べちゃべちゃ だ。;The garden is muddy after the rain.;べちゃべちゃ	ベチャベチャ	muddy	physical state	wet
彼女は電話でずっとべちゃべちゃ話していた。;かのじょ は でんわ で ずっと べ ちゃ べ ちゃ はなして いた 。;She was chattering away on the phone for ages.;べちゃべちゃ	ベチャベチャ	"chatter, babble"	speech
雨の日に外に置いておいた靴が、ベチャベチャになってしまった。;あめ の ひ に そと に おいておいた くつ が、べちゃべちゃ に なってしまった。;The shoes I left outside on a rainy day became all soggy.;べちゃべちゃ	ベチャベチャ	"mushy, soggy"	texture
彼女たちはカフェでぺちゃぺちゃとおしゃべりをしている。;かのじょたちは かふぇで ぺちゃぺちゃと おしゃべりを している。;They are chattering away at the café.;ぺちゃぺちゃ	ペチャペチャ	"chatter, babble (in voices less dull than べちゃべちゃ)"	speech
水たまりにペチャンと入った音がした。;みずたまり に ぺちゃん と はいった おと が した 。;There was the sound of a splash as something stepped into the puddle.;ぺちゃん	ペチャン	"splash, sludge"	state	liquids
そのお餅はぺちゃんこになりました。;その お もち は ぺちゃんこ に なりました。;That mochi became completely flattened.;ぺちゃんこ	ペチャンコ	"leveled, completely flattened"	resultant state
彼は突然、地面に向かってぺっと唾を吐いた。;かれ は とつぜん 、 じめん に むかって ぺっ と つば を はいた 。;He suddenly spat on the ground with a 'peh' sound.;ぺっ	ペッ	spitting	onomatopoeia	human noises
彼は地面に向かってペッと唾を吐いた。;かれ は じめん に むかって ぺっ と つば を はいた。;He spat loudly towards the ground.;ぺっ	ペッ	spit aloud	performing an action
彼は寝る前に薬をべったりと肌に塗りました。;かれ は ねる まえ に くすり を べったり と はだ に ぬりました。;He daubed the medicine thickly on his skin before going to bed.;べったり	ベッタリ	daub	action
彼はソファーにべったりと座って、一日中テレビを見ていた。;かれ は ソファー に べったり と すわって、いちにちじゅう テレビ を みていた。;He sat glued to the sofa, watching TV all day.;べったり	ベッタリ	"sitting flat, and not budging"	performing an action	sitting
彼のシャツは泥でべったりと汚れている。;かれ の しゃつ は どろ で べったり と よごれている。;His shirt is stained and sticky with mud.;べったり	ベッタリ	stained	physical state	sticky
子供が母親にべったりくっついている。;こども が ははおや に べったり くっついている。;The child is stuck close to their mother.;べったり	ベッタリ	stuck on something	resultant state
シャツがペッタリと汗で濡れている。;しゃつ が ぺったり と あせ で ぬれて いる。;The shirt is sticky with sweat.;ぺったり	ペッタリ	stained	physical state	sticky
赤ちゃんがベットリと手にジャムをつけてしまった。;あかちゃん が べっとり と て に じゃむ を つけてしまった。;The baby got jam all over his hands.;べっとり	ベットリ	"sticky, cover in something"	physical state	sticky
彼は彼女の失敗を見て、へっへっと笑った。;かれ は かのじょ の しっぱい を みて、へっへっ と わらった。;He watched her fail and laughed evilly, 'Heh heh.';へっへっ	ヘッヘッ	"evil, mean-spirited"	laughter
長時間のハイキングで彼はへとへとになった。;ながじかん の はいきんぐ で かれ は へとへと に なった。;He became exhausted from the long hike.;へとへと	ヘトヘト	exhausted	physical health	poor
このお菓子の包み紙が手にべとべとくっついて困った。;この おかし の つつみ がみ が て に べとべと くっついて こまった。;The wrapper of this candy got sticky and clung to my hands, which was troublesome.;べとべと	ベトベト	sticky	physical state	sticky
彼は質問に答えるときにへどもどした。;かれ は しつもん に こたえる とき に へどもど した。;He stuttered when answering the question.;へどもど	ヘドモド	"stutter, faltering"	speech
彼は疲れて椅子にへなへなと座った。;かれ は つかれて いす に へなへな と すわった。;He sat down weakly on the chair, exhausted.;へなへな	ヘナヘナ	weakly	performing an action	sitting
彼は立っている間にへなへなと崩れ落ちた。;かれ は たっている あいだに へなへな と くずれおちた。;He collapsed weakly while standing.;へなへな	ヘナヘナ	collapsing from loss of strength	performing an action
彼の家は古くて、少しの風でもへなへなと揺れる。;かれ の いえ は ふるくて、すこし の かぜ でも へなへな と ゆれる。;His house is old and shakes flimsy even with a slight breeze.;へなへな	ヘナヘナ	"flimsy, easily made out of shape"	structure
彼は昨日の夜にへべれけまで飲んでしまった。;かれ は きのう の よる に へ べ れ け まで のんで しまった。;He ended up getting stupendously drunk last night.;へべれけ	ヘベレケ	stupendously drunk	body function	drunk
彼は注意されたとき、へらへら笑った。;かれ は ちゅうい された とき、へらへら わらった。;He laughed dubiously when he was scolded.;へらへら	ヘラヘラ	"dubious, deceiving, embarrased"	laughter
彼はベラベラの紙で作った本を読んでいる。;かれ は べらべら の かみ で つくった ほん を よんでいる。;He is reading a book made of thin, cheap paper.;べらべら	ベラベラ	"thin, cheap"	structure
彼は英語をぺらぺら話します。;かれ は えいご を ぺらぺら はなします。;He speaks English fluently.;ぺらぺら	ペラペラ	fluently	speech
彼の話は確かにペラペラだったが、それ以上のものはなかった。;かれ の はなし は たしか に ぺらぺら だった が、それ いじょう の もの は なかった。;His story was indeed smooth-talking, but there was nothing more to it than that.;ぺらぺら	ペラペラ	sleazy	structure
プレゼントの包装紙をベリベリと破り取った。;ぷれぜんとの ほうそうしを べりべりと やぶりとった。;I ripped off the wrapping paper of the present.;べりべり	ベリベリ	tear/rip something that's stuck on something	performing an action	ripping
彼はケーキをぺろっと食べた。;かれ は けーき を ぺろっ と たべた。;He gobbled up the cake in one gulp.;ぺろっ	ペロッ	to eat up in one gulp	performing an action	eating
彼は封筒をペロッと開けた。;かれ は ふうとう を ぺろっ と あけた。;He quickly ripped open the envelope.;ぺろっ	ペロッ	tear/rip/peel off a strip of material	performing an action	ripping
彼はアイスクリームをペロッと舐めた。;かれ は あいすくりーむ を ぺろっ と なめた。;He quickly licked the ice cream.;ぺろっ	ペロッ	"stick out one's tongue, to briefly lick"	performing an action
彼は酒を飲みすぎて、べろべろになってしまった。;かれ は さけ を のみすぎて べろべろ に なって しまった。;He drank too much and became completely drunk.;べろべろ	ベロベロ	drunk enough to lose any sense of judgement	body function	drunk
犬はアイスクリームをべろべろ舐めている。;いぬ は あいすくりーむ を べろべろ なめている。;The dog is licking the ice cream vigorously.;べろべろ	ベロベロ	licking vigorously	performing an action
その犬はアイスクリームをぺろぺろなめていました。;その いぬ は あいすくりーむ を ぺろぺろ なめて いました。;The dog was licking the ice cream vigorously.;ぺろぺろ	ペロペロ	licking vigorously (but lessheavy than べろべろ)	performing an action
猫がベロリと自分の足を舐めた。;ねこ が べろり と じぶん の あし を なめた。;The cat licked its own paw with its tongue sticking out.;べろり	ベロリ	having one's tongue sticking out	performing an action
彼はラーメンをぺろりと食べた。;かれ は らーめん を ぺろり と たべた。;He ate the ramen in one gulp.;ぺろり	ペロリ	to eat up in one gulp	performing an action	eating
彼女は思わずアイスクリームをぺろりと舐めた。;かのじょ は おもわず あいすくりーむ を ぺろり と なめた。;She couldn't help but quickly lick the ice cream.;ぺろり	ペロリ	"stick out one's tongue, to briefly lick"	performing an action
猫はアイスクリームをぺろりぺろりと舐めた。;ねこ は あいすくりーむ を ぺろりぺろり と なめた。;The cat slowly and thoroughly licked the ice cream.;ぺろりぺろり	ペロリペロリ	slowly and thoroughly licking	performing an action
猫は嬉しそうにベロンと舌を出した。;ねこ は うれしそう に べろん と した を だした。;The cat happily stuck its tongue out.;べろん	ベロン	having one's tongue sticking out	performing an action
その絵はとてもべろんとした形をしている。;その え は とても べろんと した かたち を している。;That drawing has a very flat shape.;べろん	ベロン	flat	shape
彼は古い壁紙をそっとぺろんとはがした。;かれ は ふるい かべがみ を そっと ぺろん と はがした。;He gently peeled away the old wallpaper.;ぺろん	ペロン	peel away	action
彼は面接中ずっとペロンとした顔をしていた。;かれ は めんせつ ちゅう ずっと ぺろん と した かお を していた。;He had an emotionless look throughout the interview.;ぺろん	ペロン	looking emotionless	facial expression
子猫は手をぺろんと舐めた。;こねこ は て を ぺろんと なめた。;The kitten briefly licked its paw.;ぺろん	ペロン	"stick out one's tongue, to briefly lick"	performing an action
昨日の夜、田中さんはベロンベロンに酔っ払っていた。;きのう の よる、たなかさん は べろんべろん に よっぱらって いた。;Last night, Mr. Tanaka was stupendously drunk.;べろんべろん	ベロンベロン	"stupendously drunk, stronger form of べろべろ"	body function	drunk
彼は机を指でべんべんと叩いた。;かれ は つくえ を ゆび で べんべん と たたいた。;He tapped the desk with his fingers.;べんべん	ベンベン	tapping	onomatopoeia
トムはドラムをべんべんと叩いた。;とむ は どらむ を べんべん と たたいた。;Tom tapped on the drums.;べんべん	ベンベン	tapping	onomatopoeia
彼は缶を適当な場所にポイと捨てた。;かれ は かん を てきとう な ばしょ に ぽい と すてた。;He casually tossed the can aside to a random place.;ぽい	ポイ	toss away casually	performing an action	throwing
彼は手紙をポイッとゴミ箱に捨てた。;かれ は てがみ を ぽいっ と ごみばこ に すてた 。;He casually tossed the letter into the trash bin.;ぽいっ	ポイッ	toss away casually	performing an action	throwing
彼は新しいプロジェクトをほいほい引き受けた。;かれ は あたらしい ぷろじぇくと を ほいほい ひきうけた。;He readily accepted the new project.;ほいほい	ホイホイ	accept something readily	action
彼はごみをぽいぽい捨てる。;かれは ごみを ぽいぽい すてる。;He tosses the garbage away casually.;ぽいぽい	ポイポイ	toss away or dispose of casually	performing an action	throwing
彼は授業中にぽーっとしていた。;かれ は じゅぎょうちゅう に ぽーっとしていた。;He was spaced out during the class.;ぽー	ポー	distracted	mental state	not with it
試験が終わって、ほーっと安心しました。;しけん が おわって ほーっと あんしん しました 。;The exam is over, and I am relieved.;ほーっ	ホーッ	"relieved, letting out a sight"	mood	relieved
彼女は授業中、ぼーっとしていた。;かのじょ は じゅぎょうちゅう、ぼーっと して いた。;She was absent-minded during the class.;ぼーっ	ボーッ	absent-minded	mental state	not with it
彼は会議中にぼーっとしていた。;かれ は かいぎちゅう に ぼーっと していた。;He was staring blankly during the meeting.;ぼーっ	ボーッ	"fuzzy, dazed"	mental state	not with it
焚火がぼーっと燃えている。;たきび が ぼーっと もえている。;The campfire is blazing.;ぼーっ	ボーッ	blazing	onomatopoeia	fire
彼の顔が赤くなり、怒りの炎がぼーっと燃え上がった。;かれ の かお が あかく なり、いかり の ほのお が ぼーっと もえあがった。;His face turned red, and a blaze of anger burst into flames.;ぼーっ	ボーッ	"blaze, burst into flame"	state	fire
霧が濃くて視界がぼーっとしています。;きり が こくて しかい が ぼーっと しています。;The fog is thick, and the visibility is blurred.;ぼーっ	ボーッ	"blurred, misty"	weather	visibility
煙が空にぽーっと広がっていった。;けむり が そら に ぽー っと ひろがっていった。;The smoke spread out into the sky.;ぽーっ	ポーッ	"scatter outward, spread"	action	movement
「長い会議の後、私はぽーっとしてしまいました。」;ながい かいぎ の あと、 わたし は ぽーっと して しまいました。;"After the long meeting, I felt completely muddled.";ぽーっ	ポーッ	"feeling muddled, the feeling of losing consciousness"	body function
彼女はポーッと彼を見つめていた。;かのじょ は ぽーっと かれ を みつめていた。;She gazed at him in a daze.;ぽーっ	ポーッ	"dazed, fascinated, almost unconsciously"	emotions	affection
彼の髪がぼーぼーに伸びている。;かれ の かみ が ぼーぼー に のびている。;His hair has grown shaggy.;ぼーぼー	ボーボー	shaggy	hair
キャンプファイヤーがぼーぼー燃えている。;キャンプ ファイヤー が ぼーぼー もえて いる。;The campfire is blazing.;ぼーぼー	ボーボー	blazing	onomatopoeia	fire
山は火がぼーぼーと燃えていた。;やま は ひ が ぼーぼー と もえて いた。;The fire was blazing and crackling on the mountain.;ぼーぼー	ボーボー	"blazing, emitting crackling noises"	state	fire
春になると、うぐいすは「ほーほけきょ」とさえずります。;はる に なる と 、 うぐいす は 「 ほー ほけ きょ 」 と さえずり ます 。;In spring, the nightingale sings 'ho-ho-ke-kyo.';ほーほけきょ	ホーホケキョ	song of a nightingale	onomatopoeia	nightingale
彼は授業中、ぽかーんと窓の外を眺めていた。;かれ は じゅぎょう ちゅう、ぽかーん と まど の そと を ながめて いた。;During the class, he was absent-mindedly gazing out the window.;ぽかーん	ポカーン	absent-minded	mental state	not with it
彼は冗談を言った後、彼女は彼の腕をポカッと叩いた。;かれ は じょうだん を いった あと、 かのじょ は かれ の うで を ぽかっと たたいた。;After he told a joke, she gave his arm a swift strike.;ぽかっ	ポカッ	a swift strike	action	striking
風船は、ぼくの手を離れると、空にぽかっと浮かび上がる。;ふうせん は、 ぼく の て を はなれる と、 そら に ぽかっと うかびあがる。;The balloon floats up into the sky as soon as it leaves my hand.;ぽかっ	ポカッ	float up suddenly	motions	floating
彼の心は友達の言葉でほかほかと温まった。;かれ の こころ は ともだち の ことば で ほかほか と あたたまった。;His heart warmed up and glowed with warmth at his friend's words.;ほかほか	ホカホカ	"warm and pleasant feeling, to glow with warmth"	feelings
その パン は ほんとうに ほかほか だった。;その ぱん は ほんとうに ほかほか だった。;The bread was really warm and fresh.;ほかほか	ホカホカ	"warm, fresh, steaming"	state
彼女が抱きしめたブランケットはほかほかで心地良かった。;かのじょ が だきしめた ぶらんけっと は ほかほか で ここちよかった。;The blanket she hugged was comfortably warm and cozy.;ほかほか	ホカホカ	comfortably warm	weather	temperature
彼はドアをボカボカと叩いた。;かれは どあ を ぼかぼか と たたいた。;He repeatedly pounded on the door.;ぼかぼか	ボカボカ	repetative forcefull beating	action	striking
ドラムの音がポカポカと響いていた。;どらむ の おと が ぽかぽか と ひびいて いた。;The sound of the drums was beating rhythmically.;ぽかぽか	ポカポカ	repetative beating	action	striking
今日は天気が良くて、日向がぽかぽかです。;きょう は てんき が よくて 、 ひなた が ぽかぽか です 。;Today, the weather is nice, and the sunlight is pleasantly warm.;ぽかぽか	ポカポカ	pleasantly and thoroughly warm	feelings
風船が空に浮かんで、ぽかぽか浮かんでいきます。;ふうせん が そら に うかん で、ぽかぽか うかん で いきます。;The balloons float in the sky, bobbing gently one by one.;ぽかぽか	ポカポカ	come floating up one by one	motions	floating
冬の太陽がぽかぽかと穴を覆うように私たちを暖めた。;ふゆ の たいよう が ぽかぽか と あな を おおう よう に わたしたち を あたためた。;The winter sun warmly covered us like a blanket over the holes.;ぽかぽか	ポカポカ	"gaping, various"	shape	hole
今日はぽかぽかの天気ですね。;きょう は ぽかぽか の てんき です ね。;Today, the weather is pleasantly warm.;ぽかぽか	ポカポカ	pleasantly warm all round	weather	temperature
彼は友達をぽかりと叩いた。;かれ は ともだち を ぽかり と たたいた。;He gave his friend a whack.;ぽかり	ポカリ	"whack, strike"	action	striking
彼の思い出が心の中にぽかりと浮かんだ。;かれの おもいでが こころの なかに ぽかりと うかんだ。;A memory of him lightly surfaced in my mind.;ぽかり	ポカリ	"to surface, pop up lightly"	motions	floating
山に大きな穴があり、その空間はぽっかりと開いていた。;やま に おおきな あな が あり、その くうかん は ぽっかり と ひらいて いた。;There was a large hole in the mountain, and that space was gaping open.;ぽかり	ポカリ	"gaping, single"	shape	hole
彼はあたまをぽかんと叩かれた。;かれ は あたま を ぽかん と たたかれた。;He was bonked on the head.;ぽかん	ポカン	bonked (hit with something hollow)	action	striking
彼は何も理解できず、ぽかんとしている。;かれ は なにも りかい できず、 ぽかん と して いる。;He was unable to understand anything and had a blank look on his face.;ぽかん	ポカン	blank look	eye expressions
彼はぽかんと口を開けた。;かれ は ぽかん と くち を あけた。;He stared blankly with his mouth open.;ぽかん	ポカン	"gawk, stare blankly (with opened mouth)"	facial expression
びっくりするニュースを聞いて、彼はぽかんとしていた。;びっくり する ニュース を きいて 、 かれ は ぽかん と して いた 。;He was flabbergasted when he heard the surprising news.;ぽかん	ポカン	"dumbfounded, flabbergasted"	mental state
湖面に葉っぱがぽかんと浮いている。;こめん に はっぱ が ぽかん と ういている。;A leaf is floating slowly on the surface of the lake.;ぽかん	ポカン	float slowly	motions	floating
彼はその質問を聞いてポカンとした顔をした。;かれ は その しつもん を きいて ぽかん と した かお を した。;He had a vacant expression on his face after hearing the question.;ぽかん	ポカン	hollow	shape	hole
彼はぽかんぽかんと頭をたたかれた。;かれ は ぽかんぽかん と あたま を たたかれた。;He was repeatedly bonked on the head.;ぽかんぽかん	ポカンポカン	repetative bonking (being hit with something hollow)	action	striking
枝がぽきっと折れた。;えだ が ぽきっと おれた。;The branch snapped.;ぽきっ	ポキッ	"breaking something dry, fragile"	action	breaking
彼の腕がポキッと折れてしまった。;かれ の うで が ぽきっ と おれて しまった。;His arm cracked and broke.;ぽきっ	ポキッ	cracking	onomatopoeia
枝を ポキポキ 折る 音が 聞こえた。;えだ を ぽきぽき おる おと が きこえた。;I heard the sound of branches breaking.;ぽきぽき	ポキポキ	"repetetively breaking something dry, fragile"	action	breaking
彼は小枝をぽきぽき折った。;かれ は こえだ を ぽきぽき おった。;He snapped small twigs.;ぽきぽき	ポキポキ	"snapping small, fragile things"	action	snapping
彼は指をぽきぽき鳴らした。;かれ は ゆび を ぽきぽき ならした。;He cracked his fingers.;ぽきぽき	ポキポキ	cracking	onomatopoeia
枝をぽきりと折る音がした。;えだ を ぽきり と おる おと が した。;There was a sound of a branch breaking.;ぽきり	ポキリ	"breaking something dry, fragile"	action	breaking
彼は枝をぽきりぽきりと折るのが好きだ。;かれ は えだ を ぽきりぽきり と おる の が すき だ。;He enjoys repetitively breaking branches.;ぽきりぽきり	ポキリポキリ	"repetetively breaking something dry, fragile"	action	breaking
秋の夜、葉っぱが木からぽきりぽきりと落ちていく。;あき の よる、 はっぱ が き から ぽきりぽきり と おちて いく。;On an autumn night, the leaves fall from the trees with a cracking sound.;ぽきりぽきり	ポキリポキリ	cracking	onomatopoeia
彼は小枝をぽきんと折った。;かれ は こえだ を ぽきん と おった。;He snapped the twig with a pop.;ぽきん	ポキン	"breaking something dry, fragile"	action	breaking
彼は試験に合格してほくほくしている。;かれ は しけん に ごうかく して ほくほく して いる。;He is beaming with happiness having passed the exam.;ほくほく	ホクホク	"beaming, being pleased with oneself"	facial expression	smiling
焼き芋がほくほくして美味しい。;やきいも が ほくほく して おいしい。;The baked sweet potato is soft and tasty.;ほくほく	ホクホク	soft and tasty	flavour
彼女の顔はホクホクしていた。;かのじょ の かお は ほくほく していた。;Her face was delighted.;ほくほく	ホクホク	"delighted, satisfied"	mood	happy
彼はつるはしで氷をぼくんと割った。;かれ は つるはし で こおり を ぼくん と わっ た。;He broke the ice with a pickaxe with a loud 'bokun'.;ぼくん	ボクン	breaking up something hard and stiff	action	breaking
彼はいつも会議中にぼけーっとしている。;かれ は いつも かいぎ ちゅう に ぼけーっと して いる。;He is always absent-minded during meetings.;ぼけーっ	ボケーッ	absent-minded	mental state	not with it
朝、彼はいつもぼけっとしている。;あさ かれ は いつも ぼけっとしている。;He is always absent-minded in the morning.;ぼけっ	ボケッ	absent-minded	mental state	not with it
休日の午後、彼は公園のベンチに座ってぼけっとしていた。;きゅうじつ の ごご、かれ は こうえん の ベンチ に すわって ぼけっとしていた。;On a holiday afternoon, he sat on a bench in the park, relaxed and carefree.;ぼけっ	ボケッ	relaxed and carefree	mental state
鍋の中で水がぼこぼこ沸いている。;なべ の なか で みず が ぼこぼこ わいている。;The water is gurgling in the pot.;ぼこぼこ	ボコボコ	gurgling	onomatopoeia	water
その鍋の中でスープがぼこぼこと音を立て始めた。;その なべ の なか で すーぷ が ぼこぼこ と おと を たてはじめた。;In the pot, the soup started to make gurgling sounds.;ぼこぼこ	ボコボコ	gurgling	onomatopoeia
道路がぼこぼこになっている。;どうろ が ぼこぼこ に なって いる。;The road is bumpy and uneven.;ぼこぼこ	ボコボコ	bumped and pitted	shape
彼はボートの上から水面をぼこぼこと眺めていた。;かれ は ボート の うえ から すいめん を ぼこぼこ と ながめて いた。;He watched the water's surface bubbling from atop the boat.;ぼこぼこ	ボコボコ	the hollow sound of water filled with bubbles	state	liquids
彼は会議中にボサッとしていました。;かれ は かいぎちゅう に ぼさっと してい ました。;He was idly daydreaming during the meeting.;ぼさっ	ボサッ	"dreaming, idling away"	mental state	not with it
彼の髪はぼさぼさです。;かれ の かみ は ぼさぼさ です。;His hair is scruffy.;ぼさぼさ	ボサボサ	scruffy	hair
彼は会議中ずっとぼさぼさしていた。;かれ は かいぎ ちゅう ずっと ぼさぼさ して いた。;He was daydreaming throughout the whole meeting.;ぼさぼさ	ボサボサ	daydreaming	mental state	not with it
彼は状況を見て、ポシッとした判断を下した。;かれ は じょうきょう を みて、 ぽしっ と した はんだん を くだした。;He assessed the situation and made an absolutely correct decision.;ぽしっ	ポシッ	"absolute correctness, rigidly"	action
ポシッと音を立てて、古い陶器の花瓶が崩れてしまった。;ぽしっと おとを たてて、ふるい とうきの かびんが くずれて しまった。;With a cracking sound, the old porcelain vase disintegrated.;ぽしっ	ポシッ	cracking	motions	desintegrate
彼が風船を指でつついたら、ボシャッと空気が抜けた。;かれ が ふうせん を ゆび で つついたら、 ぼしゃっと くうき が ぬけた。;When he poked the balloon with his finger, it suddenly deflated with a whoosh.;ぼしゃっ	ボシャッ	deflate suddenly	state	air
彼は会議が終わった後、ぼそっと独り言を言った。;かれ は かいぎ が おわった あと、ぼそっと ひとりごと を いった。;After the meeting ended, he mumbled to himself.;ぼそっ	ボソッ	"mumble, murmur"	speech
彼は先生に注意されて、ぼそぼそと謝りました。;かれ は せんせい に ちゅうい されて、ぼそぼそ と あやまりました。;He whispered an apology to the teacher after being reprimanded.;ぼそぼそ	ボソボソ	"whispered, in subdued tone"	speech
このクッキーはもう古くなって、ぼそぼそしています。;この くっきー は もう ふるく なって、ぼそぼそ して います。;These cookies have gotten old and are dried out.;ぼそぼそ	ボソボソ	"dried out, unpalatable"	texture
彼女の頬に涙がボタッと落ちた。;かのじょ の ほお に なみだ が ぼたっ と おちた。;A tear fell abruptly from her cheek.;ぼたっ	ボタッ	an abrupt heavy teardrop	crying
大きな雨のしずくが屋根から地面にぼたっと落ちた。;おおきな あめ の しずく が やね から じめん に ぼたっと おちた。;A large raindrop fell from the roof and hit the ground with a splatter.;ぼたっ	ボタッ	a heavy drop falling and splattering when hitting	state	liquids
彼女の頬に涙がひとつだけポタッと流れた。;かのじょ の ほお に なみだ が ひとつ だけ ぽたっ と ながれた。;A single tear dropped down her cheek.;ぽたっ	ポタッ	an abrupt light teardrop	crying
水が天井からぽたっと落ちた。;みず が てんじょう から ぽたっ と おちた;A drop of water fell from the ceiling and made a 'pota' sound.;ぽたっ	ポタッ	a drop falling and impacting	state	liquids
彼女は悲しくて、大きな涙がぼたぼたと床に落ちました。;かのじょ は かなしくて、おおきな なみだ が ぼたぼた と ゆか に おちました。;She was so sad that big tears fell onto the floor with a 'bota bota' sound.;ぼたぼた	ボタボタ	the sound of tears continuously hitting a surface	crying
雨がぼたぼたと降っています。;あめ が ぼたぼた と ふって います。;The rain is falling continuously in heavy drops.;ぼたぼた	ボタボタ	continuously dropping heavy drops	state	liquids
彼女の顔に涙がポタポタと落ちた。;かのじょ の かお に なみだ が ぽたぽた と おちた。;Tears dripped onto her face one by one.;ぽたぽた	ポタポタ	the sound of light tears continuously hitting a surface	crying
雨が窓からぽたぽたと落ちていました。;あめ が まど から ぽたぽた と おちていました。;The rain was dripping continuously from the window.;ぽたぽた	ポタポタ	continuously dropping drops	state	liquids
水がバケツから落ちて、床にボタリと音を立てた。;みず が ばけつ から おちて、ゆか に ぼたり と おと を たてた。;The water fell from the bucket and made a splattering sound on the floor.;ぼたり	ボタリ	a heavy drop falling and splattering when hitting	state	liquids
雨の雫が木の葉にポタリと落ちた。;あめ の しずく が き の は に ぽたり と おちた。;A raindrop fell and splashed onto the leaf.;ぽたり	ポタリ	a drop falling and impacting	state	liquids
彼女の涙はぼたりぼたりとテーブルに落ちた。;かのじょ の なみだ は ぼたり ぼたり と テーブル に おちた。;Her tears dripped onto the table one by one.;ぼたりぼたり	ボタリボタリ	the sound of tears dripping at intervals	crying
雨が止んだ後も、水滴はぼたりぼたりと屋根から落ち続けた。;あめ が やんだ あと も 、 すいてき は ぼたりぼたり と やね から おち つづけた 。;Even after the rain stopped, drops of water continued to fall from the roof with pauses.;ぼたりぼたり	ボタリボタリ	"continuously dropping heavy drops, with pauses between drops"	state	liquids
涙がぽたりぽたりと頬を伝った。;なみだ が ぽたり ぽたり と ほほ を つたった。;Tears trickled down her cheeks in intervals.;ぽたりぽたり	ポタリポタリ	the sound of light tears dropping at intervals	crying
雨の滴が屋根からぽたりぽたりと落ちている。;あめ の しずく が やね から ぽたりぽたり と おちて いる 。;Raindrops are continuously dripping from the roof.;ぽたりぽたり	ポタリポタリ	"continuously dropping drops, with pauses between drops"	state	liquids
涙が頬を伝い音もなくポタンと落ちた。;なみだ が ほお を つたい おと も なく ぽたん と おちた。;A tear silently trickled down her cheek and dropped with a plop.;ぽたん	ポタン	the sound of a light teardrop hitting a surface	crying
彼は新しいばくふの絵に青いぽちぽちをつけた。;かれ は あたらしい ばくふ の え に あおい ぽちぽち を つけた。;He added blue splotches to the new shogi painting.;ぽちぽち	ポチポチ	splotched	form
雨が降ってきて水たまりに水がポチャッと飛び込んだ。;あめ が ふって きて みずたまり に みず が ポチャッ と とびこんだ。;It started raining and water splashed into the puddle with a 'splash'.;ぽちゃっ	ポチャッ	liquid being splashed after something abrupt	action	splashing
湖の水がボチャボチャと岸に打ち寄せる音が聞こえた。;みず が ボチャボチャ と きし に うちよせる おと が きこえた。;I could hear the sound of the lake water splashing against the shore.;ぼちゃぼちゃ	ボチャボチャ	a large body of water splashing/sloshing	action	splashing
子供たちはポチャポチャと浅い水で遊んでいました。;こどもたちは ぽちゃぽちゃ と あさい みず で あそんでいました。;The children were playing in the shallow water, splashing around.;ぽちゃぽちゃ	ポチャポチャ	a large but shallow body of water splashing/sloshing	action	splashing
小石が水面に落ちて、ぼちゃりと音がした。;こいし が すいめん に おちて、ぼちゃり と おと が した。;A pebble fell into the surface of the water, making a splash sound.;ぼちゃり	ボチャリ	liquid being splashed after something abrupt	action	splashing
水に飛び込むと、ぼちゃんと大きな音がした。;みず に とびこむ と 、 ぼちゃん と おおきな おと が した 。;When I jumped into the water, there was a big splash.;ぼちゃん	ボチャン	making a big splash when plunging into water	action	plunging
石を池に投げると、ボチャンと音がしました。;いし を いけ に なげる と、 ぼちゃん と おと が しました。;When I threw a stone into the pond, there was a splash sound.;ぼちゃん	ボチャン	liquid being splashed after something abrupt	action	splashing
雨のしずくがバケツに落ちて、ぽちゃんと音がした。;あめ の しずく が ばけつ に おちて、ぽちゃん と おと が した。;A raindrop fell into the bucket with a plop sound.;ぽちゃん	ポチャン	plopping	onomatopoeia
試験が終わってほっとした。;しけん が おわって ほっと した。;I felt relieved after finishing the exam.;ほっ	ホッ	"relieved, letting out a sight"	mood	relieved
彼が投げた石は水面に落ち、波紋がポッと広がった。;かれ が なげた いし は すいめん に おち、はもん が ぽっ と ひろ がっ た。;The stone he threw fell into the water, and ripples scattered outward.;ぽっ	ポッ	"scatter outward, spread"	action	movement
彼の顔は恥ずかしさでポッと赤くなった。;かれ の かお は はずかしさ で ぽっ と あかく なった。;His face turned red in a flash out of embarrassment.;ぽっ	ポッ	in a flash	state	light
